RH0001	Condom Latex Female (1)   	268	268	268
RH0001	Condom Latex Female (1) Other  	53033	53404	53033
RH0001	Condoms Female -   -	442	0	442
RH0002	Condoms Latex Male (144 pieces)   	2430	2430	2430
RH0002	Condoms Latex Male, 144 pieces -  -	728537	881397	728537
RH0002	Condoms Latex Male (144 pieces) Other  	274275	281215	274275
RH0003	Condoms Latex Male (100 pieces)   	1206	1210	1206
RH0003	Condoms Latex Male (100 pieces) Other  	91233	95380	91233
RH0003	Condoms Latex Male Device 100 pieces each	351925	354889	351925
RH0004	Ethinyloestradiol/LevoFALSErgestrel 30mcg/150mcg Tab Blister of 28 tabs (3) Other  	3991	3991	3991
RH0004	Ethinyloestradiol/Levonorgestrel 130mg/150mcg tablets Tablet 0.03/0.15 mg	122604	126678	122604
RH0004	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg TabBlister of 28 tabs (3)   	1787	2126	1787
RH0004	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg Tab Blister of 28 tabs (3) Other  	216348	219355	216348
RH0005	LevoFALSErgestrel Implant (Jadelle)  750mcg/rod Sub-dermal (10) Other  	202	202	202
RH0005	Levonogestrel Implant Contraceptive   10 rods, 750mcg/rod, Sub-dermal Implant - IU	48488	52935	48488
RH0005	Levonorgestrel Implant (Jadelle) 750mcg/rod Sub-dermal (10)   	189	241	189
RH0005	Levonorgestrel Implant (Jadelle)  750mcg/rod Sub-dermal (10) Other  	17825	18034	17825
RH0006	IUD Copper T 380A piece (1)   	84	84	84
RH0006	IUD Copper T  380A  piece (1) Other  	3808	3829	3808
RH0006	Iud Copper T, 380A, Piece Device 380a  Piece -	6	0	6
RH0007	LevoFALSErgestrel (Microlut)  0.03mg tablets  cycle (1) Other  	0	0	0
RH0007	Levonorgestrel (Microlut), 0.03mg tablets -  -	8	0	8
RH0007	Levonorgestrel (Microlut) 0.03mg tablets cycle (1)   	0	0	0
RH0007	Levonorgestrel (Microlut)  0.03mg tablets  cycle (1) Other  	9	0	9
RH0007	Levonorgestrel (Microlut), 0.03mg tablets - undefined -	0	0	0
RH0008	LevoFALSEgestrel 0.75mg tab (Emergency pill) (2) Other  	1072	1082	1072
RH0008	Levonogestrel 0.75mg (Emergency Pill) -  -	61203	62927	61203
RH0008	Levonogestrel 0.75mg tab (Emergency pill) (2)   	260	263	260
RH0008	Levonogestrel 0.75mg tab (Emergency pill) (2) Other  	36750	38211	36750
RH0009	Medroxyprogesterone Acetate 150mg/ml inj (200)   	0	0	0
RH0009	Medroxyprogesterone Acetate 150mg/ml inj (200) Other  	851	0	851
RH0009	Medroxyprogesterone Acetate 150mg, pwdr for injection Injectable 150Mg/ml -	1608	0	1608
RH0010	FALSErethisterone Enanthate   200mg/ml Injection  1ml amp (100) Other  	319	479	319
RH0010	Norethisterone Enanthate, 200mg/ml, Injection -  -	257506	267969	257506
RH0010	Norethisterone Enanthate  200mg/ml Injection 1ml amp (100)   	1795	1795	1795
RH0010	norethisterone Enanthate   200mg/ml Injection  1ml amp (100) Other  	99680	101244	99680
RH0011	Condom Latex Male - 100 Pieces -	111	0	111
RH0012	Medroxyprogesterone Acetate 10mg tablet (150)   	0	0	0
RH0012	Medroxyprogesterone Acetate 10mg tablet (150) Other  	0	0	0
RH0012	Medroxyprogesterone Acetate 10Mg Tabs -  -	0	0	0
RH0012	Medroxyprogesterone Acetate 10Mg Tabs - undefined -	0	0	0
RH0013	IUD COPPER T 380A piece (25)   	0	0	0
RH0013	IUD COPPER T  380A  piece (25) Other  	0	0	0
RH0013	Iud Copper T 380A, Piece Implant ml mg	0	0	0
RH0015	LevoFALSEgestrel 0.03mg tablet(3) Other  	5	5	5
RH0015	Levonogestrel 0.03mg pills Tablet 0.03 mg	23441	24576	23441
RH0015	Levonogestrel 0.03mg tablet(3)   	233	473	233
RH0015	Levonogestrel 0.03mg tablet(3) Other  	12954	13103	12954
RH0016	IUD Copper T 380A Piece (50)   	0	0	0
RH0016	IUD Copper T  380A Piece (50) Other  	50	0	50
RH0016	Iud Copper T, 380 Piece -  -	105	0	105
RH0017	Condoms Latex Male -  -	144	0	144
RH0018	Female Organ Model -  -	0	0	0
RH0018	Female Organ Model (1)   	0	0	0
RH0018	Female Organ Model (1) Other  	270	270	270
RH0019	Condoms Latex Male -  -	0	0	0
RH0020	Condoms Latex Male -  -	0	0	0
RH0020	Condoms Latex Male - undefined -	0	0	0
RH0021	Medroxyprogesterone Acetate 100mg tab (100)   	0	0	0
RH0021	Medroxyprogesterone Acetate 100mg tab (100) Other  	0	0	0
RH0021	Medroxyprogesterone Acetate Tablets 100Mg -  -	0	0	0
RH0022	Condoms Male, Lubricated -  -	2	0	2
RH0022	Condoms Male, Lubricated - undefined -	0	0	0
RH0023	Medroxyprogesterone Acetate, 150mg, Injection -  -	1039979	1118126	1039979
RH0023	Medroxyprogesterone Acetate 150mg/ml pwd for IM injection (25)   	6678	6900	6678
RH0023	Medroxyprogesterone Acetate 150mg/ml pwd for IM injection (25) Other  	479221	516393	479221
RH0024	Ethinyl/Levon (Microgynon) Blister Of 28 Tabs -  -	134	0	134
RH0024	Ethinyl/Levon (Microgynon) Blister Of 28 Tabs - undefined -	0	0	0
RH0024	Ethinyloestradiol/LevoFALSErgestrel 30mcg/150mcg tablet  cycle (1) Other  	0	0	0
RH0024	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg tablet cycle (1)   	0	0	0
RH0024	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg tablet  cycle (1) Other  	126	0	126
RH0025	Trocar, Sterile For Jadelle Insertion -  -	53	0	53
RH0025	Trocar Sterile for Jadelle Insertion (10)   	0	0	0
RH0025	Trocar  Sterile for Jadelle Insertion (10) Other  	92	0	92
RH0025	Trocar, Sterile For Jadelle Insertion - undefined -	0	0	0
RH0026	LevoFALSErgestrel 1.5mg  tab (Emergency pill) (10) Other  	0	0	0
RH0026	Levonorgestrel 1.5mg  tab (Emergency pill) (10)   	0	0	0
RH0026	Levonorgestrel 1.5mg  tab (Emergency pill) (10) Other  	0	0	0
RH0026	Levonorgestrel Tablet, 1.5Mg -  -	2	0	2
RH0026	Levonorgestrel Tablet, 1.5Mg - undefined -	0	0	0
RH0027	LevoFALSErgestrel 1.5mg  tab (Emergency pill) (1) Other  	0	0	0
RH0027	Levonorgestrel 1.5mg  tab (Emergency pill) (1)   	0	0	0
RH0027	Levonorgestrel 1.5mg  tab (Emergency pill) (1) Other  	526	526	526
RH0027	Levonorgestrel Tablet, 1.5Mg Tablet 1.5mg mg	0	0	0
RH0028	EtoFALSEgestrel (ImplaFALSEn) 68mg/rod implant subdermal (1) Other  	4	4	4
RH0028	Etonogestrel 68Mg(Implanon) Implant 68mg each	552	0	552
RH0028	Etonogestrel (Implanon) 68mg/rod implant subdermal (1)   	448	448	448
RH0028	Etonogestrel (Implanon) 68mg/rod implant subdermal (1) Other  	32552	32860	32552
RH0030	IUD Copper T, 380A, 10 Pieces, N/A, Device -  -	13596	18385	13596
RH0031	EtoFALSEgestrel (ImplaFALSEn) 68mg/rod implant subdermal (10) Other  	209	209	209
RH0031	Etonogestrel (Implanon) 68mg/rod implant subdermal (10)   	961	961	961
RH0031	Etonogestrel (Implanon) 68mg/rod implant subdermal (10) Other  	29983	31518	29983
RH0031	Etonogestrel single rod subdermal contraceptive implant, 68mg, Sub-dermal -  -	49705	52028	49705
RH0032	Condoms Latex Female 10 pieces, -  -	81293	83735	81293
RH0033	Medroxyprogesterone Acetate 104Mg/0.65Ml,(Sayana ) Injectable 104Mg/0.65Ml m Injectable 104Mg/0.65Ml ml	857811	895737	857811
RH0033	Medroxyprogesterone Acetate 104mg/0.65ml(Sayana ) SC inj (200)   	4047	4298	4047
RH0033	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (200) Other  	346337	360784	346337
RH0034	Medroxyprogesterone Acetate 104mg/0.65ml(Sayana ) SC inj (1)   	538	538	538
RH0034	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (1) Other  	24466	25344	24466
RH0041	Mifepristol 100mg/ Misoprostol Tablets 200mcg(25) Tablet 100mg/200mcg tab	1693	1754	1693
RH0042	Mifepristol Tablets 50mg(56) Tablet 50mg mg	519	523	519
RH0042	Mifepristone Tablet 10mg(200)   	0	0	0
RH0042	Mifepristone Tablet 10mg(200) Other  	1500	1500	1500
RH0043	Mifepristol Tablets 10mg(200) Tablet 10mg mg	188	188	188
RH0043	Mifepristone Tablet 10mg(200)   	1	1	1
RH0043	Mifepristone Tablet 10mg(200) Other  	123	123	123
RH0046	LevoFALSErgestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Other  	2	2	2
RH0046	Levonogestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Implant 750 mcg	3377	8015	3377
RH0046	Levonorgestrel 750mcg/rod Sub-dermal 3 Year Implant (10)   	45	45	45
RH0046	Levonorgestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Other  	3635	3635	3635
RH0049	LevoFALSErgestrel 52mg IUD (5) Other  	0	0	0
RH0049	Levonorgestrel 52mg IUD (5)   	8	8	8
RH0049	Levonorgestrel 52mg IUD (5) Implant  mg	1911	2113	1911
RH0049	Levonorgestrel 52mg IUD (5) Other  	1006	1013	1006
RH0050	Intra Uterine Devices (IUD) Copper T 90pcs Kit(1)   	0	0	0
RH0050	Intra Uterine Devices (IUD) Copper T 90pcs Kit(1) Each  each	28	28	28
RH0050	Intra Uterine Devices (IUD) Copper T 90pcs Kit(1) Other  	1698	1698	1698
RH0055	Lubricating Gel 50mg (1)   	0	0	0
RH0055	Lubricating Gel  50mg (1) Other  	625	625	625
