Product Code	Product Name	consumption	adjusted_consumption	Consumption in Packs
RH0001	Condom Latex Female (1) Other  	123408	126100	123408
RH0002	Condoms Latex Male (144 pieces) Other  	931959	936388	931959
RH0003	Condoms Latex Male (100 pieces) Other  	414245	417842	414245
RH0004	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg Tab Blister of 28 tabs (3) Other  	711378	716640	711378
RH0005	Levonorgestrel Implant (Jadelle)  750mcg/rod Sub-dermal (10) Other  	93046	95430	93046
RH0006	IUD Copper T  380A  piece (1) Other  	19657	19957	19657
RH0007	Levonorgestrel (Microlut)  0.03mg tablets  cycle (1) Other  	320	0	320
RH0008	Levonogestrel 0.75mg tab (Emergency pill) (2) Other  	168806	170395	168806
RH0009	Medroxyprogesterone Acetate 150mg/ml inj (200) Other  	3624	0	3624
RH0010	norethisterone Enanthate   200mg/ml Injection  1ml amp (100) Other  	201265	205758	201265
RH0012	Medroxyprogesterone Acetate 10mg tablet (150) Other  	15	0	15
RH0013	IUD COPPER T  380A  piece (25) Other  	0	0	0
RH0015	Levonogestrel 0.03mg tablet(3) Other  	55483	56218	55483
RH0016	IUD Copper T  380A Piece (50) Other  	358	0	358
RH0018	Female Organ Model (1) Other  	664	694	664
RH0021	Medroxyprogesterone Acetate 100mg tab (100) Other  	0	0	0
RH0023	Medroxyprogesterone Acetate 150mg/ml pwd for IM injection (25) Other  	1112226	1164719	1112226
RH0024	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg tablet  cycle (1) Other  	797	0	797
RH0025	Trocar  Sterile for Jadelle Insertion (10) Other  	141	0	141
RH0026	Levonorgestrel 1.5mg  tab (Emergency pill) (10) Other  	43	0	43
RH0027	Levonorgestrel 1.5mg  tab (Emergency pill) (1) Other  	2636	2655	2636
RH0028	Etonogestrel (Implanon) 68mg/rod implant subdermal (1) Other  	194333	196381	194333
RH0031	Etonogestrel (Implanon) 68mg/rod implant subdermal (10) Other  	77633	78022	77633
RH0033	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (200) Other  	1097957	1119770	1097957
RH0034	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (1) Other  	167170	174352	167170
RH0042	Mifepristone Tablet 10mg(200) Other  	3123	3123	3123
RH0043	Mifepristone Tablet 10mg(200) Other  	612	612	612
RH0046	Levonorgestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Other  	6214	6283	6214
RH0049	Levonorgestrel 52mg IUD (5) Other  	6469	6680	6469
RH0050	Intra Uterine Devices (IUD) Copper T 90pcs Kit(1) Other  	18419	18467	18419
RH0054	Misoprostal Tablets 200mcg (500) Other 200mcg tab	0	0	0
RH0055	Lubricating Gel  50mg (1) Other  	49614	49629	49614
